step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
413,8.4363523232,-0.0099691046,1.0020977167,100.000000,0.54628571,0.0000031966,0.0817137029
415,8.4517332014,-0.0215479782,1.0021071045,100.000000,0.54628571,0.0000035290,0.0816763037
417,8.4551980912,-0.0316968879,1.0021162416,100.000000,0.54628571,0.0000038134,0.0816300801
419,8.4433104583,-0.0398663081,1.0021251258,100.000000,0.54628571,0.0000039332,0.0815763118
421,8.4135377327,-0.0458801039,1.0021337526,100.000000,0.54628571,0.0000038102,0.0815175107
423,8.3650229491,-0.0499513933,1.0021421215,100.000000,0.54628571,0.0000034591,0.0814571088
425,8.2988379493,-0.0525740959,1.0021502413,100.000000,0.54628571,0.0000029998,0.0813989807
427,8.2177294089,-0.0543310836,1.0021581314,100.000000,0.54628571,0.0000026056,0.0813464418
429,8.1255813174,-0.0557000846,1.0021658227,100.000000,0.54628571,0.0000024104,0.0813028602
431,8.0268454486,-0.0569383819,1.0021733566,100.000000,0.54628571,0.0000024332,0.0812711671
433,7.9260434939,-0.0580831528,1.0021807837,100.000000,0.54628571,0.0000025772,0.0812538407
435,7.8272743615,-0.0590411887,1.0021881619,100.000000,0.54628571,0.0000027022,0.0812529928
437,7.7336439645,-0.0596992824,1.0021955547,100.000000,0.54628571,0.0000027137,0.0812735043
439,7.6467085974,-0.0599908209,1.0022030278,100.000000,0.54628571,0.0000026036,0.0813222309
441,7.5662249143,-0.0598978726,1.0022106459,100.000000,0.54628571,0.0000024272,0.0813913211
443,7.4904956589,-0.0594162071,1.0022184697,100.000000,0.54628571,0.0000022485,0.0814788479
445,7.4173076203,-0.0585282784,1.0022265529,100.000000,0.54628571,0.0000020992,0.0815800915
447,7.3450598055,-0.0572087389,1.0022349411,100.000000,0.54628571,0.0000019748,0.0816877339
449,7.2734945842,-0.0554519942,1.0022436711,100.000000,0.54628571,0.0000018569,0.0817929522
451,7.2036496540,-0.0532929842,1.0022527712,100.000000,0.54628571,0.0000017371,0.0818870808
453,7.1371144837,-0.0508025653,1.0022622613,100.000000,0.54628571,0.0000016204,0.0819632386
455,7.0750715379,-0.0480628956,1.0022721532,100.000000,0.54628571,0.0000015141,0.0820173746
457,7.0176700732,-0.0451426903,1.0022824499,100.000000,0.54628571,0.0000014162,0.0820485146
459,6.9640151025,-0.0420873799,1.0022931467,100.000000,0.54628571,0.0000013155,0.0820583507
461,6.9126727715,-0.0389243147,1.0023042318,100.000000,0.54628571,0.0000012015,0.0820504831
463,6.8623440655,-0.0356732779,1.0023156896,100.000000,0.54628571,0.0000010725,0.0820295811
465,6.8123535961,-0.0323535402,1.0023275040,100.000000,0.54628571,0.0000009345,0.0820005962
467,6.7627802099,-0.0289851947,1.0023396618,100.000000,0.54628571,0.0000007930,0.0819680817
469,6.7142743356,-0.0255870371,1.0023521538,100.000000,0.54628571,0.0000006482,0.0819356722
471,6.6677394307,-0.0221736569,1.0023649737,100.000000,0.54628571,0.0000004962,0.0819057833
473,6.6240608224,-0.0187532176,1.0023781145,100.000000,0.54628571,0.0000003347,0.0818795623
475,6.5839798328,-0.0153268062,1.0023915626,100.000000,0.54628571,0.0000001668,0.0818570488
477,6.5481026175,-0.0118899406,1.0024052938,100.000000,0.54628571,0.0000000014,0.0818374450
479,6.5169605981,-0.0084359358,1.0024192706,100.000000,0.54628571,-0.0000001513,0.0818193838
481,6.4910284154,-0.0049597392,1.0024334429,100.000000,0.54628571,-0.0000002840,0.0818011139
483,6.4706460925,-0.0014605879,1.0024477513,100.000000,0.54628571,-0.0000003950,0.0817805752
485,6.4558540967,0.0020574697,1.0024621319,100.000000,0.54628571,-0.0000004896,0.0817554012
487,6.4462024002,0.0055873095,1.0024765216,100.000000,0.54628571,-0.0000005797,0.0817229548
489,6.4406192307,0.0091223775,1.0024908626,100.000000,0.54628571,-0.0000006827,0.0816805460
491,6.4374177053,0.0126614844,1.0025051062,100.000000,0.54628571,-0.0000008188,0.0816349377
493,6.4344831747,0.0162131933,1.0025192155,100.000000,0.54628571,-0.0000010072,0.0815781946
495,6.4296291848,0.0197973847,1.0025331681,100.000000,0.54628571,-0.0000012618,0.0815090476
497,6.4210481245,0.0234416592,1.0025469566,100.000000,0.54628571,-0.0000015849,0.0814292092
499,6.4077331816,0.0271720190,1.0025605893,100.000000,0.54628571,-0.0000019633,0.0813426363
501,6.3897344801,0.0310003447,1.0025740878,100.000000,0.54628571,-0.0000023657,0.0812550088
503,6.3681502154,0.0349137550,1.0025874831,100.000000,0.54628571,-0.0000027467,0.0811726025
505,6.3448378737,0.0388708732,1.0026008094,100.000000,0.54628571,-0.0000030561,0.0811008718
507,6.3219303764,0.0428067790,1.0026140959,100.000000,0.54628571,-0.0000032545,0.0810431841
509,6.3013137559,0.0466439346,1.0026273577,100.000000,0.54628571,-0.0000033264,0.0810001247
511,6.2842336837,0.0503037935,1.0026405847,100.000000,0.54628571,-0.0000032870,0.0809696029
513,6.2711430078,0.0537148289,1.0026537305,100.000000,0.54628571,-0.0000031786,0.0809490165
515,6.2618067151,0.0568160998,1.0026667001,100.000000,0.54628571,-0.0000030588,0.0809358036
517,6.2555865245,0.0595583575,1.0026793393,100.000000,0.54628571,-0.0000029825,0.0809207402
519,6.2517734280,0.0619051187,1.0026914280,100.000000,0.54628571,-0.0000029868,0.0809021132
